date,ville,annee,marque,modele,couleur,km,vin,prix
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Blue,45124,1GCPDBEK7RZ196746,40250
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,23420,1GCPDBEK0RZ228999,41750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Short Bed,Gray,21582,1GCPDBEK7RZ127961,42500
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Short Bed,Blue,58400,1GCUDEE89RZ158038,52750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,White,46357,3GCUDFE80RG135527,51750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Gray,26163,1GCPDEEK7RZ201266,49000
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,40907,1GCPDBEK8RZ283328,39500
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,63887,3GCPDBEK6RG154729,35750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Blue,46171,1GCUDEE85RZ178965,54000
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Black,39414,3GCUDCED9RG196323,45100
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Gray,29298,3GCPDCEK0RG336559,44500
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,21539,1GCPDBEK9RZ238270,42250
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 ZR2 Crew Cab Short Bed,Black,42278,3GCUDHE89RG116339,62250
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,30624,1GCPDBEK5RZ238251,44000
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,46247,1GCUDEE83RZ131319,53750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Gray,47111,3GCUDCED2RG328337,47000
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,36461,1GCPDBEK6RZ200401,41500
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Blue,39994,3GCUDCED1RG145964,44750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,43405,1GCPDBEK6RZ212242,41000
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,42358,1GCUDEE82RZ145051,54750
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,19224,1GCPDBEK5RZ193621,42250
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Gray,63749,1GCUDEE87RZ207737,51250
2026-03-11,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Black,34643,3GCPDCEK3RG290872,42000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,GRAY,26174,1GCPDBEK0RZ189573,40750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,BLACK,38352,3GCPDCEK8RG385511,41750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,GRAY,50409,3GCUDCED7RG130451,42500
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLACK,29866,3GCPDBEK6RG132276,38500
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLACK,35792,1GCPDBEK7RZ322054,42750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,White,28742,1GCPDEEK0RZ152069,49000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLACK,36008,1GCPDBEK9RZ198238,42750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,BLACK,34212,3GCPDCEK8RG200843,43000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLACK,45085,1GCPDBEK9RZ239225,40500
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,WHITE,18257,1GCUDAED1RZ249875,44000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,BLACK,40829,3GCPDCEK9RG200849,43750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLUE,31617,1GCPDBEK4RZ192346,42000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 ZR2 Crew Cab Short Bed,BLUE,66364,3GCUDHEL5RG112678,58250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,WHITE,36260,3GCPDCEK0RG280798,42750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 ZR2 Crew Cab Short Bed,BLACK,37284,3GCUDHE80RG106217,63000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,GRAY,43271,3GCPDCEK0RG359758,43250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,GRAY,36707,3GCUDCED0RG222856,47000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,59122,1GCUDEE80RZ257332,54750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,WHITE,32598,1GCUDAED1RZ173235,41250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLUE,69058,1GCPDBEK8RZ251897,38250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Black,26396,1GCUDEE86RZ209821,58250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 RST Crew Cab Std Bed,Gray,40825,3GCUDEED8RG252571,52000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,GRAY,42319,1GCPDBEKXRZ201308,41750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,BLUE,23960,3GCPDCEK1RG146690,43250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,GRAY,28013,3GCUDFEDXRG182027,53250
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLUE,46717,3GCPDBEK3RG284435,38750
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 High Country Crew Cab Std Bed,BLACK,62315,1GCUDJE8XRZ105521,61000
2026-03-18,Montréal,2024,Chevrolet,Silverado 1500 High Country Crew Cab Std Bed,White,100434,1GCUDJEL6RZ109019,57200
2026-03-19,Québec,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,White,58343,1GCUDAED5RZ104127,37750
2026-03-26,Québec,2024,Chevrolet,Silverado 1500 Lt Trail Boss Crew Cab Std Bed,WHITE,43772,3GCUDFE80RG360224,49600
2026-03-26,Québec,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,GRAY,16877,3GCPDCEK2RG192383,44500
2026-03-26,Québec,2024,Chevrolet,Silverado 1500 Lt Trail Boss Crew Cab Std Bed,GRAY,57418,3GCUDFED9RG205541,48000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Work Tru,,13058,NOVIN-99BA2A84C5,32300
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,33045,NOVIN-9093B9E674,39000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Lt Trail,,38242,NOVIN-A535477ED9,54000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,22462,NOVIN-686F985C0E,46000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,17888,NOVIN-E0BEA87D48,45000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,24264,NOVIN-83C1F88CAA,44250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,31557,NOVIN-E7D3AA483D,48500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Zr2 Crew,,77354,NOVIN-4BC59FC3F4,55500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew,,27812,NOVIN-2FCF911128,46250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Lt Trail,,50449,NOVIN-05B1B53ED2,50250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,73671,NOVIN-9B895C3796,32500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Ltz Crew,,41916,NOVIN-0E7062E5FA,50500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,55794,NOVIN-7498FF6BD1,36750
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,27392,NOVIN-E6B63305F0,45500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Lt Trail,,55939,NOVIN-12E5A90496,52000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,35663,NOVIN-C1012E375F,41500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,26467,NOVIN-DB58779361,44250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,34920,NOVIN-9EFF5C1574,42750
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew,,32243,NOVIN-7663BB51A3,65500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Lt Trail,,48030,NOVIN-605B1D88BC,50750
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew,,70663,NOVIN-CDFB3A3E8B,51250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew,,,NOVIN-F44855A2BA,51500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,46133,NOVIN-56CD5F3351,44250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Lt Trail,,27776,NOVIN-190F92B295,54250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Zr2 Crew,,40935,NOVIN-83BF2D52C0,61750
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew,,35278,NOVIN-49DACE2EEC,47500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,26992,NOVIN-8B16F2301F,42250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Zr2 Crew,,37006,NOVIN-769ACA1997,63500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,,NOVIN-A196CF6549,37500
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,27749,NOVIN-657D3A8FBF,43000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,31949,NOVIN-E75E925D25,47750
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,40411,NOVIN-2984655DAA,41750
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,45376,NOVIN-1EAE0F8547,44250
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,30434,NOVIN-1C067559AC,42000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Custom,,65962,NOVIN-FC3D3FB59F,44000
2026-03-25,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew,,67632,NOVIN-38DBD84F04,55000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Ltz Crew Cab Short Bed,White,56143,1GCUDGED8RZ309413,52200
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Black,45578,3GCPDCEK9RG358396,40250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Blue,46808,1GCUDEE85RZ149594,53750
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Blue,15234,3GCPDBEK9RG218701,41500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,White,48004,1GCPDAEK9RZ156114,35000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,White,29606,3GCUDCED3RG315726,47500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,RED,42120,1GCPDBEKXRZ325482,39500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Zr2 Crew Cab Short Bed,Blue,71213,3GCUDHE88RG106496,55250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,BLACK,25632,1GCPDBEK5RZ248293,41000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,38692,3GCPDBEK1RG224508,36250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,51001,1GCPDBEK7RZ153198,39000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Black,56204,1GCUDEEL0RZ264172,60250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,20956,1GCPDBEK9RZ199275,45000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,21831,3GCPDBEK4RG208044,40750
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,38137,1GCPDBEK9RZ243615,42500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,39822,1GCPDBEK6RZ233060,42000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Blue,36494,1GCPDBEK8RZ197064,42250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Black,26711,3GCUDCED5RG244058,45500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,17248,1GCPDBEK0RZ202659,41250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Blue,50694,1GCPDEEK6RZ150990,45500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,39798,1GCPDBEK5RZ242042,41000
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Black,28076,3GCPDCEK1RG204703,43500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,Red,30142,1GCUDAED2RZ235712,42750
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Black,34070,1GCUDEEL3RZ207920,67500
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,57783,1GCPDBEK6RZ283148,38250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,White,35837,1GCPDBEK2RZ253757,42750
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Red,38342,1GCPDBEK0RZ251487,42250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,34747,NOVIN-335A20F8CC,41250
2026-04-01,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,34747,1GCPDBEKXRZ206363,41250
2026-04-02,Québec,2024,Chevrolet,Silverado 1500,SILVER,67677,3GCPDAEKXRG226980,34400
2026-04-02,Québec,2024,Chevrolet,Silverado 1500,SILVER,73353,1GCPDAEK9RZ232978,34000
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Gray,34551,1GCUDEED6RZ238958,56750
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Black,38335,3GCPDBEK5RG208053,37500
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Red,50724,3GCUDCED4RG106804,44000
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Blue,37918,3GCUDCED6RG107050,43500
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Black,37978,3GCUDEEL2RG248295,48250
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,Black,41902,3GCUDCED0RG131750,43600
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,White,41214,3GCPDCEK7RG263612,42000
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Work Truck Crew Cab Std Bed,White,40799,1GCPDAEK8RZ166018,34750
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Gray,28088,3GCUDCED7RG222627,48250
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Short Bed,Black,12586,2GCUDEED6R1163154,49750
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,19887,1GCPDBEK5RZ328435,44500
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Black,21376,3GCUDCED1RG358400,46500
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Black,26527,1GCPDEEK1RZ199840,49000
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Black,45738,3GCPDCEK0RG264925,41500
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Lt Trail Boss Crew Cab Std Bed,Gray,33213,3GCUDFE8XRG176814,49750
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 High Country Crew Cab Std Bed,White,43813,1GCUDJE80RZ251684,46000
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Black,28737,3GCPDCEK6RG204065,43200
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Rst Crew Cab Std Bed,Black,49735,1GCUDEE82RZ131277,55750
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std Bed,Black,41354,3GCPDCEK9RG354980,41250
2026-04-08,Montréal,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,Gray,34785,3GCPDBEK7RG217885,38250
2026-04-09,Québec,2024,Chevrolet,Silverado 1500 Custom Crew Cab Std Bed,WHITE,89921,1GCPDBEK8RZ243251,31500
2026-04-09,Québec,2024,Chevrolet,Silverado 1500 Custom Trail Boss Crew Cab Std B,BLACK,51359,3GCPDCEK2RG139215,39750
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,Black,32740,1GCUDEE87RZ256789,58400
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,31208,3GCPDCEK8RG200180,43000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,43019,3GCUDCED2RG239464,45500
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,BLACK,30989,3GCPDCEK6RG209766,41250
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,RED,29890,3GCUDCED4RG358889,44500
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,SILVER,19430,1GCPDBEK0RZ189914,43750
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,WHITE,87377,3GCUDCED7RG135066,37000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,Gray,38337,1GCPDEEK4RZ330470,48750
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,40175,3GCUDFE81RG149288,50000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,27163,1GCPDBEK2RZ255590,41500
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,BLACK,21515,3GCUDCE89RG275512,46000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,WHITE,34055,1GCPDAEK0RZ156695,34750
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,WHITE,54074,1GCUDAED4RZ168014,37250
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,BLACK,62259,3GCUDCED9RG131763,38500
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,18274,3GCPDCEK0RG317008,42750
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,46662,3GCUDCED4RG314973,44500
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,RED,26627,3GCPDCEK1RG162758,41000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,36726,3GCPDCEK2RG241730,40250
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,RED,44107,3GCUDCE80RG223458,44250
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,56049,3GCUDFED1RG232023,48250
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,Gray,47328,1GCUDEE89RZ113617,54250
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,GRAY,81760,1GCPDBEK0RZ260674,32750
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,Gray,46594,1GCUDEE83RZ159539,55000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,BLACK,45822,3GCUDCE88RG361135,43000
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,White,60223,1GCUDEED8RZ237830,54500
2026-04-15,Montréal,2024,Chevrolet,Silverado 1500,Red,34767,1GCPDEEK5RZ198061,48000
2026-03-04,Montréal,2024,Chevrolet,Silverado 2500HD High Country Crew Cab Std Bed,Black,85425,2GC1YREY1R1120083,64750
2026-03-11,Montréal,2024,Chevrolet,Silverado 2500HD LT Crew Cab Long Bed,Gray,48243,1GC4YNE75RF362428,58200
2026-03-25,Montréal,2024,Chevrolet,Silverado 2500Hd Lt Crew Cab Long Bed,Black,68789,1GC1YNEY7RF362992,59400
2026-03-25,Montréal,2024,Chevrolet,Silverado 2500Hd Lt Crew Cab Long Bed,White,51530,1GC4YNE78RF362519,59000
2026-03-25,Montréal,2024,Chevrolet,Silverado 2500Hd Ltz Cre,,107524,NOVIN-42BB63419B,68500
2026-04-08,Montréal,2024,Chevrolet,Silverado 2500Hd Lt Crew Cab Long Bed,Black,35083,1GC1YNEY8RF315003,73000
2026-04-08,Montréal,2024,Chevrolet,Silverado 2500Hd Custom Crew Cab Long Bed,BLACK,63137,1GC1YMEY6RF212608,66800
2026-04-08,Montréal,2024,Chevrolet,Silverado 2500Hd Lt Crew Cab Std Bed,Gray,45547,2GC1YNEY2R1233209,54900
2026-04-08,Montréal,2024,Chevrolet,Silverado 2500Hd Custom Crew Cab Long Bed,Black,72665,1GC1YMEYXRF169102,61000
2026-03-18,Montréal,2024,Chevrolet,Silverado 3500HD LT Crew Cab Long Bed,White,136375,1GC4YTEY8RF308537,60200
2026-04-15,Montréal,2024,Chevrolet,Silverado 3500Hd,White,31081,1GC4YTEY1RF311733,79000
2026-03-11,Montréal,2025,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Std Bed,Gray,25335,3GCUKFE80SG225921,55000
2026-03-18,Montréal,2025,Chevrolet,Silverado 1500 LT Trail Boss Crew Cab Short Bed,Black,30204,3GCUKFE82SG224835,55400
2026-03-25,Montréal,2025,Chevrolet,Silverado 1500 Lt Trail Boss Crew Cab Std Bed,BLACK,17502,3GCUKFED8SG286852,56800
2026-04-01,Montréal,2025,Chevrolet,Silverado 1500 Lt Crew Cab Short Bed,GRAY,45499,2GCUKDED4S1148240,40000
2026-04-01,Montréal,2025,Chevrolet,Silverado 1500 Lt Crew Cab Short Bed,WHITE,51293,3GCUKDED0SG192680,40500
2026-04-02,Québec,2025,Chevrolet,Silverado 3500Hd,Black,27004,1GC4KTEY3SF193434,75000
2026-03-26,Québec,2012,Chevrolet,Sonic Lt,Black,117892,1G1JC6EH3C4113024,3000
2026-04-09,Québec,2016,Chevrolet,Spark Lt,Red,146452,KL8CD6SA7GC566328,2500
2026-03-05,Québec,2018,Chevrolet,Spark LT,Silver,53046,KL8CD6SA5JC461844,10100
2026-04-15,Montréal,2020,Chevrolet,Spark,Red,99003,KL8CD6SA8LC462182,7400
2026-04-08,Montréal,2022,Chevrolet,Spark 1Lt,Blue,91759,KL8CD6SAXNC011032,11600
2026-04-09,Québec,2016,Chevrolet,Suburban Commercial,White,285014,1GNSCKECXGR343622,1600
2026-04-02,Québec,2017,Chevrolet,Suburban,Black,241751,1GNSKJKC1HR359033,10800
2026-03-18,Montréal,2021,Chevrolet,Suburban LT,Black,85813,1GNSKCKDXMR478228,51500
2026-03-04,Montréal,2022,Chevrolet,Suburban RST,Black,103598,1GNSKEKL7NR314455,63250
2026-03-18,Montréal,2023,Chevrolet,Suburban High Country,Gray,56818,1GNSKGKT0PR460033,80500
2026-03-25,Montréal,2023,Chevrolet,Suburban Premier,Black,154435,1GNSKFKL3PR273427,57000
2026-04-15,Montréal,2024,Chevrolet,Suburban,White,49769,1GNSKGKL9RR131964,91000
2026-03-04,Montréal,2024,Chevrolet,Suburban LT,Black,55164,1GNSKCKT1RR107280,73750
2026-04-15,Montréal,2021,Chevrolet,Tahoe,Black,127072,1GNSKRKD0MR460808,53500
2026-03-11,Montréal,2021,Chevrolet,Tahoe High Country,Gray,68067,1GNSKTKL6MR116887,61800
2026-04-08,Montréal,2023,Chevrolet,Tahoe High Country,Black,81472,1GNSKTKL9PR248093,80400
2026-03-04,Montréal,2023,Chevrolet,Tahoe Z71,Black,53875,1GNSKPKL5PR358193,77500
2026-04-15,Montréal,2024,Chevrolet,Tahoe,Gray,73475,1GNSKPKD7RR131521,77750
2026-04-15,Montréal,2024,Chevrolet,Tahoe,Black,56636,1GNSKTKL7RR273786,89250
2026-03-18,Montréal,2024,Chevrolet,Tahoe LT,Gray,6417,1GNSKNKD9RR287130,77500
2026-02-25,Montréal,2025,Chevrolet,Tahoe LS,Gray,42679,1GNS6MRDXSR153656,69700
2026-03-04,Montréal,2025,Chevrolet,Tahoe LT,Gray,32865,1GNS6NRD8SR118104,76500
2026-03-18,Montréal,2022,Chevrolet,Trailblazer LT,Red,13090,KL79MPSL6NB075371,20900
2026-03-25,Montréal,2022,Chevrolet,Trailblazer Lt,,66706,NOVIN-A4B1D82076,16750
2026-03-04,Montréal,2022,Chevrolet,TrailBlazer RS,Black,81894,KL79MUSL0NB039075,18250
2026-04-15,Montréal,2023,Chevrolet,Trailblazer,Blue,58300,KL79MUSL6PB174628,22900
2026-04-15,Montréal,2023,Chevrolet,Trailblazer,White,28719,KL79MUSLXPB045839,24600
2026-03-18,Montréal,2023,Chevrolet,Trailblazer LS,White,9758,KL79MMS29PB177143,20600
2026-03-04,Montréal,2023,Chevrolet,Trailblazer LT,Black,16576,KL79MRSL5PB204831,22000
2026-03-04,Montréal,2023,Chevrolet,Trailblazer LT,Black,33872,KL79MRSL4PB149000,18600
2026-03-11,Montréal,2023,Chevrolet,Trailblazer LT,White,76019,KL79MRSL1PB107125,19600
2026-03-04,Montréal,2023,Chevrolet,Trailblazer RS,Gray,37780,KL79MUSL1PB208183,24000
2026-03-11,Montréal,2023,Chevrolet,Trailblazer RS,Red,42199,KL79MUSL8PB065958,23100
2026-04-01,Montréal,2023,Chevrolet,Trailblazer Rs,Black,43720,KL79MUSL3PB203308,19100
